ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Michael Story,,,Neil Hannon,"This showstopper from the movie Wonka is sure to be a crowd-pleaser! This terrific arrangement has many teachable moments, including swinging eighth notes, dynamic shifts, rhythmic interplay, independence, and more. Full of energy and excitement, this expertly scored arrangement of You've Never Had Chocolate Like This by Michael Story is the perfect choice for your next concert.",00:02:30,Alfred Music Publications,"TV, Film, Comédie musicale",Concert Band,2.5,,ALF0050782,,,You've Never Had Chocolate Like This,https://www.musicshopeurope.fr/you-ve-never-had-chocolate-like-this-alf0050782?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790065176178,2024,,,Torstein Aagaard-Nilsen Edition Concert Band,Torstein Aagaard-Nilsen,"""Pang"" is an onimatopoeia that discribes the brutal forces unleashed from the very first bar. The stream of energy contiunes throughout the piece. The piece was comissioned by Bispehaugen Ungdomskorps (Bispehaugen Concert Band) in 1998. A version for brass band was written for Manger Musikklag and recorded by them on ""Grafitti"", Bjørn Sagstad conducting.",00:02:15,Norsk Noteservice,,Concert Band,5.0,False,NNS9790065176178,,,PANG Introduction No. 4,https://www.musicshopeurope.fr/pang-introduction-no-4-nns9790065176178?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790661027935,2024,Lars Erik Gudim,,,Sammy Cahn,,,Norsk Noteservice,Jazz,Concert Band and Vocal,4.0,False,NNS9790661027935,,,Ain't That A Kick In The Head,https://www.musicshopeurope.fr/ain-t-that-a-kick-in-the-head-nns9790661027935?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2024,,,,"M.J. Wamhoff,Don MacDonald",,,Galaxy Music Corporation,,Concert Band and Piano,3.0,,ECS13744,"Concert Band, Piano and Metal Percussion - Complete Set",,When The Earth Stands Still,https://www.musicshopeurope.fr/when-the-earth-stands-still-ecs13744?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2024,Michael Brown,,Young Concert Band,Stephen Schwartz,"This gorgeous arrangement of the tender ballad about the love shared between best friends from the hit musical, Wicked, will be the perfect showcase of your young band's tone, phrasing and musicianship. Masterfully scored to be either a standalone arrangement or as an accompaniment to the vocal arrangement by Mac Huff (HL#08621340). Perfect for any concert program.",,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,3.0,Y,HL04009006,Band with Opt. Choir,,For Good (from Wicked),https://www.musicshopeurope.fr/for-good-from-wicked-hl04009006?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2024,,,Windependence Artist Level,Dana Wilson,"As the title implies, this short yet dynamic work is intended as a fast-paced burner and quite possibly positioned at the front of any concert program. Filled with dynamic twists and turns, along with cascading woodwind passages and splashes of brass and percussion, there is a sense of almost being out of control as it reaches an exciting and dramatic finish. Dur: ca. 3:00 (Recorded live by the Eastman Wind Ensemble",,Boosey and Hawkes,,Concert Band,5.0,False,HL48025348,Windependence Series - Artist Level (Grade 5),Concert,Front Burner,https://www.musicshopeurope.fr/front-burner-hl48025348?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790700434359,2025,,,,Thomas Doss,,00:28:00,Oktavian Music,Messe,Concert Band/Harmonie and Choir,4.0,,OKTA035-24-01,Score+parts+choir+reduction,,Messe der Barmherzigkeit,https://www.musicshopeurope.fr/messe-der-barmherzigkeit-okta035--24--01?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257333,2025,,,Concert and Contest Collection CBHA,Jacob de Haan,"La divine muse de la musique n'a pas pu être célébrée par le rassemblement pendant la pandémie de Covid. Il est d’autant plus important, aujourd’hui, de se réjouir de pouvoir jouer ensemble comme avant, de retour dans les bras de la muse. Cette œuvre exprime des émotions variées : la vulnérabilité, le désespoir, mais surtout l'espoir, l'euphorie et la gratitude, alors que muse, musique et musiciens s'unissent à",00:09:00,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,3.0,True,DHP 1256537-010,,,Return to Muse,https://www.musicshopeurope.fr/return-to-muse-dhp%201256537--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257388,2025,,,De Haske Easy Band Series,Thierry Deleruyelle,"Les Jeux Olympiques de 2024 se déroulant à Paris, la Confédération Musicale de France a souhaité y prendre part en commandant une œuvre qui rassemblerait les musiciens autour de l’événement sportif. Le compositeur Thierry Deleruyelle a écrit une œuvre festive et dynamique dont l’instrumentation flexible à dix parties convient à n’importe quelle formation : orchestre d’harmonie ou fanfare. Si l'on devait résumer",00:03:35,De Haske Publications,Pièce de concert,Concert Band/Harmonie/Fanfare,2.5,True,DHP 1256539-015,,,Play for Fun!,https://www.musicshopeurope.fr/play-for-fun-dhp%201256539--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257272,2025,,,Concert and Contest Collection CBHA,Jacob de Haan,"La musique touche l'âme humaine. C'est à partir de cette idée simple et pourtant si vaste que Jacob de Haan a créé son  Hymnus Animae  (Hymne de l'âme). Une œuvre lente et émouvante, écrite par le compositeur pour toucher musiciens et auditeurs : un joyau musical qui mérite vraiment une scène pour briller.",00:03:55,De Haske Publications,Hymnes et chorals,Orchestre d'Harmonie,2.5,True,DHP 1256534-010,,,Hymnus Animae,https://www.musicshopeurope.fr/hymnus-animae-dhp%201256534--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257258,2025,,,Concert and Contest Collection CBHA,Thierry Deleruyelle,"The World of Sorcery  plonge l'auditeur dans un univers envoûtant où sorcellerie et magie noire se conjuguent harmonieusement. Commandée par Arts Vivants 52 et les orchestres d’harmonie de Bourbonne-les-Bains, Chalindrey et Fayl-Billot, l’œuvre est basée sur les savoir-faire et légendes de la région, en particulier des trois villes des orchestres commanditaires, dont les habitants surent utiliser les bienfaits de",00:10:20,De Haske Publications,Pièce de concert,Orchestre d'Harmonie,3.0,,DHP 1256533-010,,,The World of Sorcery,https://www.musicshopeurope.fr/the-world-of-sorcery-dhp%201256533--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790035257319,2025,,,Brilliant Marches,Thierry Deleruyelle,"Survivors  est une marche de concert à la fois lumineuse et mélodieuse. L'éclat des cuivres, combiné à l'expressivité des bois, confère à cette œuvre une modernité marquée. Elle a été composée et dédiée aux blessés de l'armée de terre, rendant hommage à leur courage, leur résilience et leur force intérieure. À travers une écriture musicale riche en émotion et en puissance, cette œuvre célèbre les « survivants » –",00:04:30,De Haske Publications,Marche de concert,Orchestre d'Harmonie,3.0,True,DHP 1256536-010,,,Survivors,https://www.musicshopeurope.fr/survivors-dhp%201256536--010?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790365227143,2025,,,Beriato Concert Works,Filip Ceunen,"Mount Olympus  est une commande du Groot Genker Orkest de Genk (Belgique) à l'occasion de son 20e anniversaire. Dans le contexte de cette composition, le mont Olympe, la demeure des dieux grecs, peut être considéré comme une référence au Zwarte Berg (Montagne noire) de Genk, qui, avec ses collines ondulantes et sa nature luxuriante, est également un lieu d'inspiration et de contemplation – ce qui a incité le",00:09:30,Beriato Music Publishing,Pièce de concert,Orchestre d'Harmonie,3.5,True,BMP25011757,Home of the Gods,,Mount Olympus,https://www.musicshopeurope.fr/mount-olympus-bmp25011757?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
